condutor/0/categoriaAtual,condutor/0/nome,condutor/0/cpf,condutor/0/dataPrimeiraHabilitacao,condutor/0/dataNascimento,condutor/0/dataValidadeCnh,condutor/0/nacionalidade,condutor/0/nomeMae,condutor/0/nomePai,condutor/0/tipoDocumento,condutor/0/numeroDocumento,condutor/0/orgaoExpedidorDocumento,condutor/0/ufExpedidorDocumento,condutor/0/numeroRegistro,condutor/0/sexo,condutor/0/enderecoLogradouro,condutor/0/enderecoNumero,condutor/0/enderecoComplemento,condutor/0/enderecoBairro,condutor/0/enderecoCep,condutor/0/descricaoEnderecoMunicipio,condutor/0/enderecoUf,condutor/0/enderecoMunicipio,condutor/1/categoriaAtual,condutor/1/nome,condutor/1/cpf,condutor/1/dataPrimeiraHabilitacao,condutor/1/dataNascimento,condutor/1/dataValidadeCnh,condutor/1/nacionalidade,condutor/1/nomeMae,condutor/1/nomePai,condutor/1/tipoDocumento,condutor/1/numeroDocumento,condutor/1/orgaoExpedidorDocumento,condutor/1/ufExpedidorDocumento,condutor/1/numeroRegistro,condutor/1/sexo,condutor/1/retrato,condutor/1/enderecoLogradouro,condutor/1/enderecoNumero,condutor/1/enderecoComplemento,condutor/1/enderecoBairro,condutor/1/enderecoCep,condutor/1/descricaoEnderecoMunicipio,condutor/1/enderecoUf,condutor/2/categoriaAtual,condutor/2/nome,condutor/2/cpf,condutor/2/dataPrimeiraHabilitacao,condutor/2/dataNascimento,condutor/2/dataValidadeCnh,condutor/2/nacionalidade,condutor/2/nomeMae,condutor/2/nomePai,condutor/2/tipoDocumento,condutor/2/numeroDocumento,condutor/2/orgaoExpedidorDocumento,condutor/2/ufExpedidorDocumento,condutor/2/numeroRegistro,condutor/2/sexo,condutor/2/enderecoLogradouro,condutor/2/enderecoNumero,condutor/2/enderecoComplemento,condutor/2/enderecoBairro,condutor/2/enderecoCep,condutor/2/descricaoEnderecoMunicipio,condutor/2/enderecoUf
B,FELLIPE DE LIMA BIAZI,02441510169,2010-11-10,1992-07-24,2018-06-06,1,MARLENE ALVES DE LIMA BIAZI,OSVALDO FIORAVANTE BIAZI,1,,,,05074052442,1,RUA DAS PAPOULAS,234,,JARDIM CUIABA,78043-138,GURUPI,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,CARLOS MATEUS BORGES JUNIOR,00369948122,2004-05-15,1985-09-28,2019-06-17,1,EDILENA PEREIRA BORGES,CARLOS MATEUS BORGES,1,,,,03281581277,1,C1 LT4,1604,,TAQUATINGA CENTRO,72010-010,GURUPI,DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,DIGES FELTRIN GUIZELINI,00891628975,2001-09-14,1983-02-08,2021-04-06,1,ALICE FELTRIN GUIZELINE,GERALDO GUIZELINE,1,,,,01973427650,1,RUA GUARAPOS,2270,AP 93B,PORTAO,80320-210,GURUPI,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,LUCAS ARAUJO CASSIANO DIAS,73583960149,2006-12-16,1987-11-09,2019-02-05,1,LOURDES DE ARAUJO PEREIRA,WALDEMIR CASSIANO DIAS,1,,,,03999738639,1,QD 01,1780,,SETOR INDUSTRIAL GAMA,72445-010,GURUPI,DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,IRINEU EUSEBIO DE MELO,25912238822,1997-01-22,1976-04-16,2021-09-16,1,PENHA ALVARISTO DE MELO,JOSE RAIMUNDO DE MELO,1,,,,01760699520,1,RUA MANOEL PORTO,49,,JARDIM DAS ROSAS,05893-150,GURUPI,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,KATRINE LOPES PINTO,00852889186,2006-02-18,1987-12-03,2020-11-30,1,GELVACI LOPES RIBEIRO PINTO,TEOFILO CLAUDINO PINTO,1,,,,03788233207,2,QD13,59,CONJ B,SOBRADINHO,73040-132,GURUPI,DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,RONY ALEXANDRE SOARES PEREIRA,01483228673,2004-06-21,1985-04-13,2017-12-27,1,VANDA SOARES PEREIRA,RAIMUNDO NONATO PEREIRA,1,,,,03310352493,1,TERCEIRA AV BLOCO 2045,7,,N. BANDEIRANTE,71720-029,BRASILIA,DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,MARCOS DE SOUZA VASCONCELLOS,63276828634,1991-07-13,1968-04-29,2021-11-21,1,MARIA JOSE DE SOUZA VASCONCELLOS,DANIEL GOMES DE VASCONCELLOS,1,,,,01787908509,1,RUA MONTE SANTO,169,BL 4 AP 201,CARLOS PRATES,30710-430,BRASILIA,MG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,PEDRO OLIVEIRA,33840981026,2011-04-05,1990-01-02,2019-05-06,1,MARIA JOAO,JOSE MARIA,1,,,,01234567891,1,RUA SANTA CATARINA,646,,SÃO JORGE,09111-520,,SP,SANTO ANDRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,JOAO LUIZ MUSA MACHADO F DE LIMA ALVARES,00879610166,2003-01-11,1984-10-16,2017-11-08,1,MARIA CELIA FONSECA MUSA AVELAR MACHADO,AFONSO CELSO FLECHA DE LIMA ALVARES,1,,,,02694291263,1,SHIS,13,QL22 CONJ4,LAGO SUL,71650-245,BRASILIA,DF,,A,João da Silva,40442820135,2003-07-13,1993-06-01,2019-02-20,1,Marcelo da Silva,Joana da Silva,1,6694845,CTPS,PI,95171400621,1,,Travessa Serrano,3421,,CENTRO,20492-488,BRASILIA,BA,A,Bruno da Silva Ramires,27592971879,1980-09-04,1980-09-04,2021-06-21,1,Nelcy da Silva Ramires,Pai do Bruno,1,6694845,ZZZ,DF,98610926740,1,Travessa Serrano,3156,,CENTRO,78018-467,BRASILIA,MA
